Part Number▲▼,Product Image,Package▲▼,Dimensions(mm)▲▼,Carrier Frequency(kHz)▲▼,AGC▲▼,Transmission DistanceTyp.(m)▲▼,Detection Threshold /Sensitivity Typ.▲▼,Half ViewingAngle(°)▲▼,Supply CurrentTyp.(mA)▲▼,Pinning▲▼,Recommended for RemoteControl Code▲▼,Application▲▼,Mounting▲▼,Image path
TSOP58436,Enlarge,Minicast,5.0 W x 6.95 H x 4.8 D,36,AGC4,18,0.2,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",RC5,Remote control,Leaded,image/ir-receiver-modules/82461.png
TSOP58436,Enlarge,Minicast,5.0 W x 6.95 H x 4.8 D,36,AGC4,18,0.2,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",RC6,Remote control,Leaded,image/ir-receiver-modules/82461.png
TSOP58438,Enlarge,Minicast,5.0 W x 6.95 H x 4.8 D,38,AGC4,18,0.2,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",NEC,Remote control,Leaded,image/ir-receiver-modules/82461.png
TSOP58438,Enlarge,Minicast,5.0 W x 6.95 H x 4.8 D,38,AGC4,18,0.2,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",Mitsubishi,Remote control,Leaded,image/ir-receiver-modules/82461.png
TSOP58438,Enlarge,Minicast,5.0 W x 6.95 H x 4.8 D,38,AGC4,18,0.2,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",Sejin 4PPM,Remote control,Leaded,image/ir-receiver-modules/82461.png
TSOP58438,Enlarge,Minicast,5.0 W x 6.95 H x 4.8 D,38,AGC4,18,0.2,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",Sharp,Remote control,Leaded,image/ir-receiver-modules/82461.png
TSOP58440,Enlarge,Minicast,5.0 W x 6.95 H x 4.8 D,40,AGC4,18,0.2,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82461.png
TSOP58456,Enlarge,Minicast,5.0 W x 6.95 H x 4.8 D,56,AGC4,18,0.2,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",RCA,Remote control,Leaded,image/ir-receiver-modules/82461.png
TSOP58456,Enlarge,Minicast,5.0 W x 6.95 H x 4.8 D,56,AGC4,18,0.2,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",r-step,Remote control,Leaded,image/ir-receiver-modules/82461.png
TSOP58530,Enlarge,Minicast,5.0 W x 6.95 H x 4.8 D,30,AGC5,18,0.2,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82462.png
TSOP58533,Enlarge,Minicast,5.0 W x 6.95 H x 4.8 D,33,AGC5,18,0.2,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82462.png
TSOP58536,Enlarge,Minicast,5.0 W x 6.95 H x 4.8 D,36,AGC5,18,0.2,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82462.png
TSOP58538,Enlarge,Minicast,5.0 W x 6.95 H x 4.8 D,38,AGC5,18,0.2,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82462.png
TSOP58540,Enlarge,Minicast,5.0 W x 6.95 H x 4.8 D,40,AGC5,18,0.2,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82462.png
TSOP58556,Enlarge,Minicast,5.0 W x 6.95 H x 4.8 D,56,AGC5,18,0.2,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82462.png
TSOP59230,Enlarge,TVCast,6.8 W x 2.6 H x 5.3 D,30,AGC2,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",,Remote control,Leaded,image/ir-receiver-modules/82779.png
TSOP59230TR1,Enlarge,TVCast SMD,6.8 W x 2.6 H x 5.3 D,30,AGC2,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",,Remote control,SMD,image/ir-receiver-modules/82789.png
TSOP59233,Enlarge,TVCast,6.8 W x 2.6 H x 5.3 D,33,AGC2,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",,Remote control,Leaded,image/ir-receiver-modules/82779.png
TSOP59233TR1,Enlarge,TVCast SMD,6.8 W x 2.6 H x 5.3 D,33,AGC2,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",,Remote control,SMD,image/ir-receiver-modules/82789.png
TSOP59236,Enlarge,TVCast,6.8 W x 2.6 H x 5.3 D,36,AGC2,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",,Remote control,Leaded,image/ir-receiver-modules/82779.png
TSOP59236TR1,Enlarge,TVCast SMD,6.8 W x 2.6 H x 5.3 D,36,AGC2,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",,Remote control,SMD,image/ir-receiver-modules/82789.png
TSOP59238,Enlarge,TVCast,6.8 W x 2.6 H x 5.3 D,38,AGC2,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",,Remote control,Leaded,image/ir-receiver-modules/82779.png
TSOP59238TR1,Enlarge,TVCast SMD,6.8 W x 2.6 H x 5.3 D,38,AGC2,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",,Remote control,SMD,image/ir-receiver-modules/82789.png
TSOP59240,Enlarge,TVCast,6.8 W x 2.6 H x 5.3 D,40,AGC2,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",Sony,Remote control,Leaded,image/ir-receiver-modules/82779.png
TSOP59240TR1,Enlarge,TVCast SMD,6.8 W x 2.6 H x 5.3 D,40,AGC2,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",Sony,Remote control,SMD,image/ir-receiver-modules/82789.png
TSOP59256,Enlarge,TVCast,6.8 W x 2.6 H x 5.3 D,56,AGC2,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",Cisco,Remote control,Leaded,image/ir-receiver-modules/82779.png
TSOP59256TR1,Enlarge,TVCast SMD,6.8 W x 2.6 H x 5.3 D,56,AGC2,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",Cisco,Remote control,SMD,image/ir-receiver-modules/82789.png
TSOP59330,Enlarge,TVCast,6.8 W x 2.6 H x 5.3 D,30,AGC3,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",,Remote control,Leaded,image/ir-receiver-modules/82776.png
TSOP59330TR1,Enlarge,TVCast SMD,6.8 W x 2.6 H x 5.3 D,30,AGC3,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",,Remote control,SMD,image/ir-receiver-modules/82790.png
TSOP59333,Enlarge,TVCast,6.8 W x 2.6 H x 5.3 D,33,AGC3,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",,Remote control,Leaded,image/ir-receiver-modules/82776.png
TSOP59333TR1,Enlarge,TVCast SMD,6.8 W x 2.6 H x 5.3 D,33,AGC3,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",,Remote control,SMD,image/ir-receiver-modules/82790.png
TSOP59336,Enlarge,TVCast,6.8 W x 2.6 H x 5.3 D,36,AGC3,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",MCIR,Remote control,Leaded,image/ir-receiver-modules/82776.png
TSOP59336,Enlarge,TVCast,6.8 W x 2.6 H x 5.3 D,36,AGC3,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",RCMM,Remote control,Leaded,image/ir-receiver-modules/82776.png
TSOP59336TR1,Enlarge,TVCast SMD,6.8 W x 2.6 H x 5.3 D,36,AGC3,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",MCIR,Remote control,SMD,image/ir-receiver-modules/82790.png
TSOP59336TR1,Enlarge,TVCast SMD,6.8 W x 2.6 H x 5.3 D,36,AGC3,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",RCMM,Remote control,SMD,image/ir-receiver-modules/82790.png
TSOP59338,Enlarge,TVCast,6.8 W x 2.6 H x 5.3 D,38,AGC3,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",RCMM,Remote control,Leaded,image/ir-receiver-modules/82776.png
TSOP59338,Enlarge,TVCast,6.8 W x 2.6 H x 5.3 D,38,AGC3,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",RECS-80 code,Remote control,Leaded,image/ir-receiver-modules/82776.png
TSOP59338,Enlarge,TVCast,6.8 W x 2.6 H x 5.3 D,38,AGC3,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",XMP,Remote control,Leaded,image/ir-receiver-modules/82776.png
TSOP59338TR1,Enlarge,TVCast SMD,6.8 W x 2.6 H x 5.3 D,38,AGC3,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",RCMM,Remote control,SMD,image/ir-receiver-modules/82790.png
TSOP59338TR1,Enlarge,TVCast SMD,6.8 W x 2.6 H x 5.3 D,38,AGC3,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",RECS-80 code,Remote control,SMD,image/ir-receiver-modules/82790.png
TSOP59338TR1,Enlarge,TVCast SMD,6.8 W x 2.6 H x 5.3 D,38,AGC3,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",XMP,Remote control,SMD,image/ir-receiver-modules/82790.png
TSOP59340,Enlarge,TVCast,6.8 W x 2.6 H x 5.3 D,40,AGC3,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",,Remote control,Leaded,image/ir-receiver-modules/82776.png
TSOP59340TR1,Enlarge,TVCast SMD,6.8 W x 2.6 H x 5.3 D,40,AGC3,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",,Remote control,SMD,image/ir-receiver-modules/82790.png
TSOP59356,Enlarge,TVCast,6.8 W x 2.6 H x 5.3 D,56,AGC3,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",r-map,Remote control,Leaded,image/ir-receiver-modules/82776.png
TSOP59356TR1,Enlarge,TVCast SMD,6.8 W x 2.6 H x 5.3 D,56,AGC3,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",r-map,Remote control,SMD,image/ir-receiver-modules/82790.png
TSOP59430,Enlarge,TVCast,6.8 W x 2.6 H x 5.3 D,30,AGC4,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",,Remote control,Leaded,image/ir-receiver-modules/82779.png
TSOP59430TR1,Enlarge,TVCast SMD,6.8 W x 2.6 H x 5.3 D,30,AGC4,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",,Remote control,SMD,image/ir-receiver-modules/82789.png
TSOP59433,Enlarge,TVCast,6.8 W x 2.6 H x 5.3 D,33,AGC4,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",,Remote control,Leaded,image/ir-receiver-modules/82779.png
TSOP59433TR1,Enlarge,TVCast SMD,6.8 W x 2.6 H x 5.3 D,33,AGC4,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",,Remote control,SMD,image/ir-receiver-modules/82789.png
TSOP59436,Enlarge,TVCast,6.8 W x 2.6 H x 5.3 D,36,AGC4,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",RC-5,Remote control,Leaded,image/ir-receiver-modules/82779.png
TSOP59436,Enlarge,TVCast,6.8 W x 2.6 H x 5.3 D,36,AGC4,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",RC-6,Remote control,Leaded,image/ir-receiver-modules/82779.png
TSOP59436,Enlarge,TVCast,6.8 W x 2.6 H x 5.3 D,36,AGC4,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",Panasonic,Remote control,Leaded,image/ir-receiver-modules/82779.png
TSOP59436TR1,Enlarge,TVCast SMD,6.8 W x 2.6 H x 5.3 D,36,AGC4,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",RC-5,Remote control,SMD,image/ir-receiver-modules/82789.png
TSOP59436TR1,Enlarge,TVCast SMD,6.8 W x 2.6 H x 5.3 D,36,AGC4,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",RC-6,Remote control,SMD,image/ir-receiver-modules/82789.png
TSOP59436TR1,Enlarge,TVCast SMD,6.8 W x 2.6 H x 5.3 D,36,AGC4,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",Panasonic,Remote control,SMD,image/ir-receiver-modules/82789.png
TSOP59438,Enlarge,TVCast,6.8 W x 2.6 H x 5.3 D,38,AGC4,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",Sejin 4PPM,Remote control,Leaded,image/ir-receiver-modules/82779.png
TSOP59438,Enlarge,TVCast,6.8 W x 2.6 H x 5.3 D,38,AGC4,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",Mitsubishi,Remote control,Leaded,image/ir-receiver-modules/82779.png
TSOP59438,Enlarge,TVCast,6.8 W x 2.6 H x 5.3 D,38,AGC4,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",NEC,Remote control,Leaded,image/ir-receiver-modules/82779.png
TSOP59438,Enlarge,TVCast,6.8 W x 2.6 H x 5.3 D,38,AGC4,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",r-step,Remote control,Leaded,image/ir-receiver-modules/82779.png
TSOP59438,Enlarge,TVCast,6.8 W x 2.6 H x 5.3 D,38,AGC4,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",Sharp,Remote control,Leaded,image/ir-receiver-modules/82779.png
TSOP59438TR1,Enlarge,TVCast SMD,6.8 W x 2.6 H x 5.3 D,38,AGC4,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",Sejin 4PPM,Remote control,SMD,image/ir-receiver-modules/82789.png
TSOP59438TR1,Enlarge,TVCast SMD,6.8 W x 2.6 H x 5.3 D,38,AGC4,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",Mitsubishi,Remote control,SMD,image/ir-receiver-modules/82789.png
TSOP59438TR1,Enlarge,TVCast SMD,6.8 W x 2.6 H x 5.3 D,38,AGC4,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",NEC,Remote control,SMD,image/ir-receiver-modules/82789.png
TSOP59438TR1,Enlarge,TVCast SMD,6.8 W x 2.6 H x 5.3 D,38,AGC4,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",r-step,Remote control,SMD,image/ir-receiver-modules/82789.png
TSOP59438TR1,Enlarge,TVCast SMD,6.8 W x 2.6 H x 5.3 D,38,AGC4,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",Sharp,Remote control,SMD,image/ir-receiver-modules/82789.png
TSOP59440,Enlarge,TVCast,6.8 W x 2.6 H x 5.3 D,40,AGC4,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",,Remote control,Leaded,image/ir-receiver-modules/82779.png
TSOP59440TR1,Enlarge,TVCast SMD,6.8 W x 2.6 H x 5.3 D,40,AGC4,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",,Remote control,SMD,image/ir-receiver-modules/82789.png
TSOP59456,Enlarge,TVCast,6.8 W x 2.6 H x 5.3 D,56,AGC4,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",r-step,Remote control,Leaded,image/ir-receiver-modules/82779.png
TSOP59456,Enlarge,TVCast,6.8 W x 2.6 H x 5.3 D,56,AGC4,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",RCA,Remote control,Leaded,image/ir-receiver-modules/82779.png
TSOP59456TR1,Enlarge,TVCast SMD,6.8 W x 2.6 H x 5.3 D,56,AGC4,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",r-step,Remote control,SMD,image/ir-receiver-modules/82789.png
TSOP59456TR1,Enlarge,TVCast SMD,6.8 W x 2.6 H x 5.3 D,56,AGC4,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",RCA,Remote control,SMD,image/ir-receiver-modules/82789.png
TSOP59530,Enlarge,TVCast,6.8 W x 2.6 H x 5.3 D,30,AGC5,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",,Remote control,Leaded,image/ir-receiver-modules/82776.png
TSOP59530TR1,Enlarge,TVCast SMD,6.8 W x 2.6 H x 5.3 D,30,AGC5,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",,Remote control,SMD,image/ir-receiver-modules/82790.png
TSOP59533,Enlarge,TVCast,6.8 W x 2.6 H x 5.3 D,33,AGC5,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",,Remote control,Leaded,image/ir-receiver-modules/82776.png
TSOP59533TR1,Enlarge,TVCast SMD,6.8 W x 2.6 H x 5.3 D,33,AGC5,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",,Remote control,SMD,image/ir-receiver-modules/82790.png
TSOP59536,Enlarge,TVCast,6.8 W x 2.6 H x 5.3 D,36,AGC5,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",,Remote control,Leaded,image/ir-receiver-modules/82776.png
TSOP59536TR1,Enlarge,TVCast SMD,6.8 W x 2.6 H x 5.3 D,36,AGC5,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",,Remote control,SMD,image/ir-receiver-modules/82790.png
TSOP59538,Enlarge,TVCast,6.8 W x 2.6 H x 5.3 D,38,AGC5,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",,Remote control,Leaded,image/ir-receiver-modules/82776.png
TSOP59538TR1,Enlarge,TVCast SMD,6.8 W x 2.6 H x 5.3 D,38,AGC5,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",,Remote control,SMD,image/ir-receiver-modules/82790.png
TSOP59540,Enlarge,TVCast,6.8 W x 2.6 H x 5.3 D,40,AGC5,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",,Remote control,Leaded,image/ir-receiver-modules/82776.png
TSOP59540TR1,Enlarge,TVCast SMD,6.8 W x 2.6 H x 5.3 D,40,AGC5,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",,Remote control,SMD,image/ir-receiver-modules/82790.png
TSOP59556,Enlarge,TVCast,6.8 W x 2.6 H x 5.3 D,56,AGC5,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",,Remote control,Leaded,image/ir-receiver-modules/82776.png
TSOP59556TR1,Enlarge,TVCast SMD,6.8 W x 2.6 H x 5.3 D,56,AGC5,21,0.15,± 45,0.35,"1, 4 = GND, 2 = VS, 3 = OUT",,Remote control,SMD,image/ir-receiver-modules/82790.png
TSOP6130,Enlarge,Panhead,7.5 W x 5.3 H x 4.0 D,30,AGC1,18,0.2,± 50,0.35,"1 = GND, 2 = N.C., 3 = VS, 4 = OUT",,Remote control,SMD,image/ir-receiver-modules/82457.png
TSOP6133,Enlarge,Panhead,7.5 W x 5.3 H x 4.0 D,33,AGC1,18,0.2,± 50,0.35,"1 = GND, 2 = N.C., 3 = VS, 4 = OUT",,Remote control,SMD,image/ir-receiver-modules/82457.png
TSOP6136,Enlarge,Panhead,7.5 W x 5.3 H x 4.0 D,36,AGC1,18,0.2,± 50,0.35,"1 = GND, 2 = N.C., 3 = VS, 4 = OUT",,Remote control,SMD,image/ir-receiver-modules/82457.png
TSOP6138,Enlarge,Panhead,7.5 W x 5.3 H x 4.0 D,38,AGC1,18,0.2,± 50,0.35,"1 = GND, 2 = N.C., 3 = VS, 4 = OUT",,Remote control,SMD,image/ir-receiver-modules/82457.png
TSOP6140,Enlarge,Panhead,7.5 W x 5.3 H x 4.0 D,40,AGC1,18,0.2,± 50,0.35,"1 = GND, 2 = N.C., 3 = VS, 4 = OUT",,Remote control,SMD,image/ir-receiver-modules/82457.png
TSOP6156,Enlarge,Panhead,7.5 W x 5.3 H x 4.0 D,56,AGC1,18,0.2,± 50,0.35,"1 = GND, 2 = N.C., 3 = VS, 4 = OUT",,Remote control,SMD,image/ir-receiver-modules/82457.png
TSOP6230,Enlarge,Panhead,7.5 W x 5.3 H x 4.0 D,30,AGC2,18,0.2,± 50,0.35,"1 = GND, 2 = N.C., 3 = VS, 4 = OUT",,Remote control,SMD,image/ir-receiver-modules/82463.png
TSOP6233,Enlarge,Panhead,7.5 W x 5.3 H x 4.0 D,33,AGC2,18,0.2,± 50,0.35,"1 = GND, 2 = N.C., 3 = VS, 4 = OUT",,Remote control,SMD,image/ir-receiver-modules/82463.png
TSOP6236,Enlarge,Panhead,7.5 W x 5.3 H x 4.0 D,36,AGC2,18,0.2,± 50,0.35,"1 = GND, 2 = N.C., 3 = VS, 4 = OUT",,Remote control,SMD,image/ir-receiver-modules/82463.png
TSOP6238,Enlarge,Panhead,7.5 W x 5.3 H x 4.0 D,38,AGC2,18,0.2,± 50,0.35,"1 = GND, 2 = N.C., 3 = VS, 4 = OUT",,Remote control,SMD,image/ir-receiver-modules/82463.png
TSOP6240,Enlarge,Panhead,7.5 W x 5.3 H x 4.0 D,40,AGC2,18,0.2,± 50,0.35,"1 = GND, 2 = N.C., 3 = VS, 4 = OUT",Sony,Remote control,SMD,image/ir-receiver-modules/82463.png
TSOP6256,Enlarge,Panhead,7.5 W x 5.3 H x 4.0 D,56,AGC2,18,0.2,± 50,0.35,"1 = GND, 2 = N.C., 3 = VS, 4 = OUT",Cisco,Remote control,SMD,image/ir-receiver-modules/82463.png
TSOP6330,Enlarge,Panhead,7.5 W x 5.3 H x 4.0 D,30,AGC3,18,0.2,± 50,0.35,"1 = GND, 2 = N.C., 3 = VS, 4 = OUT",,Remote control,SMD,image/ir-receiver-modules/82457.png
TSOP6333,Enlarge,Panhead,7.5 W x 5.3 H x 4.0 D,33,AGC3,18,0.2,± 50,0.35,"1 = GND, 2 = N.C., 3 = VS, 4 = OUT",,Remote control,SMD,image/ir-receiver-modules/82457.png
TSOP6336,Enlarge,Panhead,7.5 W x 5.3 H x 4.0 D,36,AGC3,18,0.2,± 50,0.35,"1 = GND, 2 = N.C., 3 = VS, 4 = OUT",MCIR,Remote control,SMD,image/ir-receiver-modules/82457.png
TSOP6336,Enlarge,Panhead,7.5 W x 5.3 H x 4.0 D,36,AGC3,18,0.2,± 50,0.35,"1 = GND, 2 = N.C., 3 = VS, 4 = OUT",RCMM,Remote control,SMD,image/ir-receiver-modules/82457.png
TSOP6338,Enlarge,Panhead,7.5 W x 5.3 H x 4.0 D,38,AGC3,18,0.2,± 50,0.35,"1 = GND, 2 = N.C., 3 = VS, 4 = OUT",RECS-80 Code,Remote control,SMD,image/ir-receiver-modules/82457.png
TSOP6338,Enlarge,Panhead,7.5 W x 5.3 H x 4.0 D,38,AGC3,18,0.2,± 50,0.35,"1 = GND, 2 = N.C., 3 = VS, 4 = OUT",XMP,Remote control,SMD,image/ir-receiver-modules/82457.png
TSOP6340,Enlarge,Panhead,7.5 W x 5.3 H x 4.0 D,40,AGC3,18,0.2,± 50,0.35,"1 = GND, 2 = N.C., 3 = VS, 4 = OUT",,Remote control,SMD,image/ir-receiver-modules/82457.png
TSOP6356,Enlarge,Panhead,7.5 W x 5.3 H x 4.0 D,56,AGC3,18,0.2,± 50,0.35,"1 = GND, 2 = N.C., 3 = VS, 4 = OUT",r-map,Remote control,SMD,image/ir-receiver-modules/82457.png
TSOP6430,Enlarge,Panhead,7.5 W x 5.3 H x 4.0 D,30,AGC4,18,0.2,± 50,0.35,"1 = GND, 2 = N.C., 3 = VS, 4 = OUT",,Remote control,SMD,image/ir-receiver-modules/82463.png
TSOP6433,Enlarge,Panhead,7.5 W x 5.3 H x 4.0 D,33,AGC4,18,0.2,± 50,0.35,"1 = GND, 2 = N.C., 3 = VS, 4 = OUT",,Remote control,SMD,image/ir-receiver-modules/82463.png
TSOP6436,Enlarge,Panhead,7.5 W x 5.3 H x 4.0 D,36,AGC4,18,0.2,± 50,0.35,"1 = GND, 2 = N.C., 3 = VS, 4 = OUT",RC-5,Remote control,SMD,image/ir-receiver-modules/82463.png
TSOP6436,Enlarge,Panhead,7.5 W x 5.3 H x 4.0 D,36,AGC4,18,0.2,± 50,0.35,"1 = GND, 2 = N.C., 3 = VS, 4 = OUT",RC-6,Remote control,SMD,image/ir-receiver-modules/82463.png
TSOP6436,Enlarge,Panhead,7.5 W x 5.3 H x 4.0 D,36,AGC4,18,0.2,± 50,0.35,"1 = GND, 2 = N.C., 3 = VS, 4 = OUT",Panasonic,Remote control,SMD,image/ir-receiver-modules/82463.png
TSOP6438,Enlarge,Panhead,7.5 W x 5.3 H x 4.0 D,38,AGC4,18,0.2,± 50,0.35,"1 = GND, 2 = N.C., 3 = VS, 4 = OUT",NEC,Remote control,SMD,image/ir-receiver-modules/82463.png
TSOP6438,Enlarge,Panhead,7.5 W x 5.3 H x 4.0 D,38,AGC4,18,0.2,± 50,0.35,"1 = GND, 2 = N.C., 3 = VS, 4 = OUT",Sharp,Remote control,SMD,image/ir-receiver-modules/82463.png
TSOP6438,Enlarge,Panhead,7.5 W x 5.3 H x 4.0 D,38,AGC4,18,0.2,± 50,0.35,"1 = GND, 2 = N.C., 3 = VS, 4 = OUT",Mitsubishi,Remote control,SMD,image/ir-receiver-modules/82463.png
TSOP6438,Enlarge,Panhead,7.5 W x 5.3 H x 4.0 D,38,AGC4,18,0.2,± 50,0.35,"1 = GND, 2 = N.C., 3 = VS, 4 = OUT",Sejin 4PPM,Remote control,SMD,image/ir-receiver-modules/82463.png
TSOP6440,Enlarge,Panhead,7.5 W x 5.3 H x 4.0 D,40,AGC4,18,0.2,± 50,0.35,"1 = GND, 2 = N.C., 3 = VS, 4 = OUT",,Remote control,SMD,image/ir-receiver-modules/82463.png
TSOP6456,Enlarge,Panhead,7.5 W x 5.3 H x 4.0 D,56,AGC4,18,0.2,± 50,0.35,"1 = GND, 2 = N.C., 3 = VS, 4 = OUT",r-step,Remote control,SMD,image/ir-receiver-modules/82463.png
TSOP6456,Enlarge,Panhead,7.5 W x 5.3 H x 4.0 D,56,AGC4,18,0.2,± 50,0.35,"1 = GND, 2 = N.C., 3 = VS, 4 = OUT",Thomson RCA,Remote control,SMD,image/ir-receiver-modules/82463.png
TSOP6530,Enlarge,Panhead,7.5 W x 5.3 H x 4.0 D,30,AGC5,18,0.2,± 50,0.35,"1 = GND, 2 = N.C., 3 = VS, 4 = OUT",,Remote control,SMD,image/ir-receiver-modules/82457.png
TSOP6533,Enlarge,Panhead,7.5 W x 5.3 H x 4.0 D,33,AGC5,18,0.2,± 50,0.35,"1 = GND, 2 = N.C., 3 = VS, 4 = OUT",,Remote control,SMD,image/ir-receiver-modules/82457.png
TSOP6536,Enlarge,Panhead,7.5 W x 5.3 H x 4.0 D,36,AGC5,18,0.2,± 50,0.35,"1 = GND, 2 = N.C., 3 = VS, 4 = OUT",,Remote control,SMD,image/ir-receiver-modules/82457.png
